nombre,precio,ubicacion,enlace,habitaciones,baños,metros_cuadrados
"Apartamento en Tiffany Cañada, Zona 14","$ 3,200 Más mantenimiento e IVA","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-tiffany-canada-zona-14-daa43390/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 203 m2
Apartamento en renta zona 14 – Áttica,"$ 1,250 +iva+mant","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-attica-daa43387/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 139 m2
"Hermoso apartamento en alquiler, Pacífica Pl...","$ 2,000","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-pacifica-plaza-zona-14-caa13425/,Dormitorios: 4,Baños: 2.5,No especificado
"Apartamento en Renta en Edificio Attica II, ...","$ 1,250 $","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-en-edificio-attica-ii-zona-14-ciudad-de-guatemala-caa13424/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 139 m2
Tiffany Cañada 3 habitaciones,"$ 3,565 mant incluido + iva","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/tiffany-canada-3-habitaciones-daa43380/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 202 m2
LOFT EN RENTA EDIFICIO AOKI ZONA 14,"$ 1,500","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/loft-en-renta-edificio-aoki-zona-14-daa43379/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 105 m2
Apartamento en alquiler Terra Delfines zona ...,$ 850,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-terra-delfines-zona-14-sector-la-villa-daa43375/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 54 m2
Apartamento en renta zona 14 / Attica II,"$ 1,475","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-attica-ii-daa43361/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 139 m2
"Hermoso apartamento en alquiler, Pacifica Pl...","$ 1,100","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-pacifica-plaza-zona-14-caa13423/,Dormitorios: 2,Baños: 2,No especificado
"Apartamento en renta RIALTO, zona 14 (D)","$ 1,500 Mant. Incluido + iva","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-rialto-zona-14-d-daa42654/,Dormitorios: 1,Baños: 1.5,Tamaño del lote del Inmueble: 10 m2
"Zona 14, alquilo apartamento de 3 habitacion...","$ 1,480 mas IVA","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/zona-14-alquilo-apartamento-de-3-habitaciones-daa43353/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 139 m2
Apartamento en alquiler en exclusivo sector ...,"$ 3,900","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-en-exclusivo-sector-zona-14-daa43351/,Dormitorios: 3,Baños: 3.5,Tamaño de la propiedad: 415 m2
Apartamento en renta en Condado La Villa 2 h...,$ 750,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-en-condado-la-villa-2-habitaciones-daa43342/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 88 m2
APARTAMENTO EN RENTA CON MUEBLES EN ZONA 14,"$ 1,250","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-con-muebles-en-zona-14-daa43337/,Dormitorios: 2,Baños: 2,Tamaño del lote del Inmueble: 10 m2
Apartamento amueblado y equipado en alquiler...,"$ 3,000","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-y-equipado-en-alquiler-edificio-villa-risho-zona-14-CAA12097/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 325 m2
"Apartamento en Alquiler, Edificio Attica 2, ...","$ 1,600 incluye mantenimiento","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-attica-2-zona-14-caa6536/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 193 m2
"Apartamento en alquiler, Edificio Vivaldi, z...","$ 1,500","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-vivaldi-zona-14-CAA12214/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 175 m2
"RENTO APARTAMENTO ZONA 14, SANTA INES","$ 3,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/rento-apartamento-zona-14-santa-ines-caa13416/,Dormitorios: 3,Baños: 3,Tamaño de la propiedad: 250 m2
"Apartamento en Edificio Atenas, Zona 14","$ 2,800","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-edificio-atenas-zona-14-daa43321/,Dormitorios: 2,Baños: 3.5,Tamaño de la propiedad: 240 m2
Zona 14 • Apartamento en renta • Edificio Be...,"$ 1,100 3 habitaciones","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/zona-14-apartamento-en-renta-edificio-be14-amueblado-y-equipado-daa43317/,Dormitorios: 3,Baños: 2,Tamaño de la propiedad: 96 m2
Apartamento amueblado en renta zona 14,"$ 1,600","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-daa43309/,Dormitorios: 1,Baños: 1.5,Tamaño de la propiedad: 80 m2
Apartamento en renta en Zona 14 Edificio San...,$ 800,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-en-zona-14-edificio-santorini-europlaa-caa13410/,Dormitorios: 2,Baños: 2,No especificado
APARTAMENTO EN RENTA AREA DEL CC. LA NORIA,"$ 1,250","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-area-del-cc-la-noria-daa43291/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 139 m2
Apartamento en Renta zona 14/ Santa Inés del...,"$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-santa-ines-del-parque-daa43276/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 153 m2
Exclusivo  apartamento  en renta zona 14,"$ 3,200 Más iva más mantenimiento","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/exclusivo-apartamento-en-renta-zona-14-caa13397/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 203 m2
Zona 14 • Apartamento en renta • Edificio Be...,"$ 1,100 3 habitaciones","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/zona-14-apartamento-en-renta-edificio-be14-amueblado-y-equipado-daa43317/,Dormitorios: 3,Baños: 2,Tamaño de la propiedad: 96 m2
Apartamento amueblado en renta zona 14,"$ 1,600","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-daa43309/,Dormitorios: 1,Baños: 1.5,Tamaño de la propiedad: 80 m2
Apartamento en renta en Zona 14 Edificio San...,$ 800,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-en-zona-14-edificio-santorini-europlaa-caa13410/,Dormitorios: 2,Baños: 2,No especificado
APARTAMENTO EN RENTA AREA DEL CC. LA NORIA,"$ 1,250","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-area-del-cc-la-noria-daa43291/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 139 m2
Apartamento en Renta zona 14/ Santa Inés del...,"$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-santa-ines-del-parque-daa43276/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 153 m2
Exclusivo  apartamento  en renta zona 14,"$ 3,200 Más iva más mantenimiento","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/exclusivo-apartamento-en-renta-zona-14-caa13397/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 203 m2
Attica 1 zona 14  2 habitaciones,"$ 1,150 mant incluido + iva","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/attica-1-zona-14-3-habitaciones-daa43265/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 139 m2
Apartamento en zona 14,"$ 3,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-zona-14-daa43261/,Dormitorios: 3,Baños: 2,Tamaño de la propiedad: 406 m2
"APARTAMENTO EN RENTA EN ZONA 14, EDIFICIO AT...","$ 1,250","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-en-zona-14-edificio-attica-2-daa43260/,Dormitorios: 3,Baños: 2,Tamaño de la propiedad: 136 m2
